Name,PostTitle,PostDescription,Date,Time,ReplyCount
Brian,"Gene testing, precision medicine, and shared information","Dear members, How should we be thinking about our genetic information when it comes to disease? It’s a question many of us are asking here on Inspire, sometimes very intensely, depending on the nature of the disease. The information we get from our genome can have a direct impact on so much, including how, or if, we can be treated for certain types of disease -- that is the nature of precision (or personalized) medicine. Precision medicine’s appeal is reflected in the way many drugs are developed and which ones work well enough for government approval. In May, the FDA made its first drug approval based on how well the drug targeted a tumor’s genetic features (one kind of “biomarker”) rather than the type of organ tissue the tumor came from. Last year, over a quarter of all the drugs approved by the FDA included biomarker information. Inspire’s 2016 Annual Survey of members revealed how much genetic testing and precision medicine are on our minds. Of 10,000 respondents, 18% already had their genes tested, 29% had heard of precision medicine, and 58% were interested in finding out more about their genetic makeup. What is more, many respondents expressed enthusiasm to share their genetic data to help scientific research. Almost 70% said they would share this information and/or their health records for a clinical research project. We expect that figure will climb in the 2017 Inspire Annual Survey, which we plan to publish soon. Patients’ genetic information could also help answer the question of when we might benefit from advances in precision medicine. Could a breakthrough treatment help someone now? Their children? Many of us want to be involved in medical innovation and drive decisions that will affect us. Offering access to the intricacies of our genomes is a powerful way to be involved. I feel strongly that if any of us do contribute in this way, researchers must respect our wishes about the ways in which our personal information is used. But even if sharing genetic information doesn’t appeal to you, sharing your experience with a treatment, asking for more information about a condition, or supporting one another as caregivers helps us learn more about what our genes can tell us. Each of us can help move medicine forward. I would love to know your thoughts about gene testing, precision medicine, and what it means to share this type of information. Has genetic information factored into your or someone you know’s care in some way? If you’d like, please share your experiences in the comments section below. Together, we’re better. Brian LoewFounder & CEO ","June  5, 2019 ",  7:35 pm,1178 
lexie234,Is it Possible? - @lexie234 - Sexually transmitted diseases - 20190604,"I’ve been on the depo shot for 2 years now consistently, I have never missed a shot. On Jan 6 ITook my depo shot(7th shot) , and on Jan 7, my bf fingered me, I have never had sexual intercourse ever. He said that he washed his hands on April 6, I had a full blown period because that is when my next shot was due. I got it on April 7th (8th shot)but because I’m paranoid I took multiple pregnancy test all of which were negative and a hcg blood test on April 10th and May 31st both of which were negative. Should I be worried about anything? ","July  6, 2017 ", 11:32 am,8 
dbw8976,Newly diagnosed and need advise and suggestions! - Sexually transmitted diseases,"My 18 year old daughter was just diagnosed with Herpes (HSV-1) a few days ago. I am so overwhelmed. She's in a horrible place emotionally and psychologically. Right now, she just can't stop thinking about it...shame, guilt, embarrasmment and how 'difficult my life will be...'She's leaving for college across the country in a few months so... I am desperate to learn what I can, devise a comprehensive treatment plan, and then figure out follow up and primary care out of state.I would appreciate any suggestions on what I can do to best support her emotionally, treatment plan, advise, etc.Thank you so much!! ","May 24, 2019",9:27 am,3 
iamnotkirk,I am a young gay man and want to know how do I treat herpes - Sexually transmitted diseases,I am gay and need help with my STD’s if someone could please reach out to me at +1 (239) 867-1999 ,"May 24, 2019 ",  9:27 am,2 
Cj333,Hiv risk associated with kissing outer part of vagina - Sexually transmitted diseases,"Hello everyone. I apologize and will try to make the details as least graphic as possible. Long story short, I received protected oral from a sex worker. But my concern is that at some point, she sort of sat on my face for a couple of seconds (nude). She then kept insisting I lick her vagina but I was too afraid of HIV, so I only kissed her inner thighs a couple of times, and then I kissed her a single time on the exterior part of her vaginal lips. With my lips tightly closed, and feeling no fluid  touch my lips. I never once stuck out my tongue. Still, I'm a bit afraid of having been exposed to HIV. 1. Would her sitting on my face and receiving a single, closed lip kiss on only the outside surface of the vagina count as cunnilingus? And would it be a risk to test over?2. I don't recall anything wrong with my mouth, other than slightly chapped lips. Would this be an adequate barrier? Thanks for your help! ","May 31, 2019 ",  2:36 am,2 
donp2000,How long does gonorrhea takes to clear up after antibiotics? - Sexually transmitted diseases,"I went Dr, he said I have the STI. After the two antibiotics given how long will I wait to stop seeing the pus drip? Also does gonorrhea  cause itching and swelling on the foreskin? Edited June  1, 2019 at  8:18 am","May 31, 2019 ",  2:58 am,1 
GodCureMe,"Sex,Marriage & Lies - Sexually transmitted diseases",Hi! Got Herpes from my husband! (ex husband now) He knew that his ex wife gave it to him. I’m 45 years old and he is 53! He was still cheating with her and plenty of others! He’s so evil and don’t care! He ‘ s trying to still hurt me like - i owe him a apology! He’s cool with the ex wife who gave it too him! I took a 50b out on him he still doing stuff to my car just can prove it ! Neighbors seen him at my house etc..! Just hate i got this but turning away from God is a seed i’m reaping! ,"June  1, 2019 ",  8:09 am,2 
Ninaisdevastated,How do i move on after herpes diagnosis? - Sexually transmitted diseases,"Hello. My name is Nina and i am 22 years old. Today my life changed forever as i was diagnosed with herpes. Just typing that out is so extremely painful..... for the past 2 years i abstained from sex because of a violent sexual assault left me traumatized... i’ve struggled with depression and anxiety since. But after being put on some medication that helped I decided to start dating again this year. I had a good healthy relationship for about 4 months, but found out he was being unfaithful. And so i started dating someone else, became intimate within the first month, everything was great. Until today. I went to the hospital thinking i had strep throat as i had been very ill the past 3 days, only for them to tell me the worst thing i could possibly imagine. I haven’t stopped crying for hours. I can’t bring myself to tell my mom or my best friend. I’m so disgusted with myself and ashamed...When in relationships, which i have been greatly enjoying this year, i am a highly sexual person. I don’t know how i’ll ever have the same relationships ever again... i would never want to do to someone what this has done to me. I’ll never be able to enjoy the things i used to enjoy with another person. I can’t get over that. I’ll never be able to bring pleasure to anyone the way they’ll want me to. How will anyone ever want me? I wanted to have kids within the next few years, my whole life all i’ve wanted was to be a mother. I feel like that dream has been ripped away from me. My depression and anxiety have come back in full swing. I find myself taking more hydroxixine by the hour just so i can breathe. I don’t know i’m strong enough for this. I honestly don’t know if i can get past it. I feel like my life is over and i’m so young. I had so many plans. I was so happy to be in a relationship. And now i don’t even know how to bring this up, he said he was checked in March and was clean..... i feel like he’ll turn it around on me and say i was cheating and leave me all alone. I just want someone to talk to who knows where i’m coming from. I need to calm down before i lose it ","May 30, 2019 ",  3:10 am,6 
destanee,How do I handle the emotions with genital herpes diagnosis - Sexually transmitted diseases,"My bestfriend died in January, I turned 18 in February and in March I was given HSV-1 genital herpes. Had the worst outbreak of my life it felt plus 2 bacterial infections, an ulcer on my Perineum, and constipation. Could barely walk for 3 weeks. Now I’m ashamed and feel like my life is over. Is anyone else dealing with this that could talk to me ","May 18, 2019 ",  1:34 pm,3 
Queen_free_spirit,How do I had my emotions - Sexually transmitted diseases,About 2 weeks ago I found out I have Herpes and I don’t know how to handle the mixed emotion ,"May 19, 2019 ", 11:37 pm,3 
March2019-1,Does anyone know? - @March2019-1 - Sexually transmitted diseases - 20190523,"does anyone know how likely it is to have a breakout around your mouth, with HSV-1? My first break out was in the downstairs area so I’m wondering if I could start breaking out around my mouth! ","May 19, 2019 ", 12:11 am,2 
steve_jones97,Chlamydia help - Sexually transmitted diseases,"Hi, I have been diagnosed with throat and rectal Chlamydia. I do not have genital Chlamydia, my urine test came back clear. Does that mean to pass it on I would need to have anal or oral sex ? Or could I have passed it on from penis to vagina ? Thanks in advance. ","May 22, 2019 ", 11:24 pm,2 
Teacherdude69,What is expected when your Gleason 9/aggressive prostate cancer comes back - Sexually transmitted diseases,I recently was told my Cancer has resurfaced.  The stats I was given were three to five years there was a chance in the 90% range.  Well it has been close to four years. No surgery just ADT (24mo) with extrnal rad the HDR.Anyone with this experience? ,"May 14, 2019",5:19 pm,2 
March2019-1,How do you come out with it? - Sexually transmitted diseases,"My name is Mary and I’m 20 years old. It’s been a few months since I’ve been diagnosed with HSV-1 and I’ve been trying to “avoid” it by knowing I do have it and take care of myself and do whatever i can so I don’t infect anyone else. But what I’m struggling with is... How does one come out to their Significant other and tell them I have HSV 1, when you, yourself can’t even believe you have it!? Like how do you come about that conversation and trust? Especially if you are starting a new relationship with someone! ","May 14, 2019 ",  5:19 pm,1 
Radha_Inspire,YOU made an Inspire glossary!,"Greetings! I’d like to introduce a new resource for all of us in the Inspire community - a glossary. We believe this will be a helpful resource that will improve your experience on Inspire. Thanks to the many, many of you who suggested this feature and helped make it a priority. Inspire’s glossary includes common terms and acronyms that reflect the shorthand that patients, caregivers, and others who seek support here use to talk about their conditions and experiences. For example, you would find 6MWT (6-minute walking test) but we also included LWASA (let’s wait and see approach). In creating the glossary, we began with a list of terms compiled by Inspire’s community team from around the site and solicited further suggestions from a few large communities in order to have a baseline group of terms. You can access the glossary via the drop down menu next to your Inspire username at the top left of the page. Here is the direct link: https://www.inspire.com/about/glossary This glossary is very much a work in progress and we would love your help in growing it. So, please visit the page, use the resource, and if you don’t see the term you are looking for or you would like to suggest one, leave it as a comment in response to this post or email glossary@inspire.com. Remember to include the following details: - Term, abbreviation, or acronym- If an abbreviation or acronym, a fully spelled out version- If applicable, a definition Thank you! Radha Digital Editor, Inspire ","May 20, 2019 ", 10:59 pm,147 
mjix,Can someone help.. - @mjix - Sexually transmitted diseases - 20190513,"Hi I have been diagnosed with Herpes early this morning, I can’t seem to cope with anything. I can’t clear my mind, I’m sad. A little more than sad I really can’t accept this... it’s a feeling of defeat. I need help ","March 22, 2018 ",  4:11 pm,2 
gingersmama44,oral contraceptive pills and herpes - Sexually transmitted diseases,does anyone have any info on this-- does oral contraceptives affect number of recurrences of outbreaks or affect how likely you are to transmit the infection? I've been recently diagnosed and am seeing conflicting info through google searches. ,"May 13, 2019 ",  6:26 pm,3 
january2019,How to do you mentally cope? - Sexually transmitted diseases,"How do you cope with this mentally? I'm having such a hard time and it's made my relationship rocky to the point we might end up breaking up soon. I feel like I'm looked at with disgust and like just a disease. He use to want to show me off all the time and now he like hides me. He did admit he wasn't sure about us anymore due to me being infected and I can't blame him but the pain of rejection and already trying to deal with it mentally breaks me. Someone please help me. I feel like I need help mentally. Edited May  8, 2019 at  7:12 pm","May 15, 2019 ",  2:00 pm,8 
january2019,Why me?! - @january2019 - Sexually transmitted diseases - 20190512,Someone please help me. I can't deal with this pain. I can't cope with this. ,"May  8, 2019 ",  3:30 pm,6 
icantbelieveit2000,Ask anyone thought about seeing a therapist to cope? - Sexually transmitted diseases,I was told by my dr about an hour ago I’ve been exposed to the herpes virus. I’ve been crying for the last 2hrs trying to figure out why. I’m not even sure i believe what I was told. I’m not telling anyone about this so i feel as though I should start seeing a therapist? ,"May 11, 2019 ", 11:19 pm,5 
Saketh1,Herpes confusion. - @Saketh1 - Sexually transmitted diseases - 20190508,"I just exposed to a unknown status partner and baseline testing for hsv after 45 hours of exposure  shows igg values positive through Elisa ( 2.55,3.55) for hsv-1&2 respectively. igm negative for both .no visible symptoms just little bit itching at nose, eyes, ears and genitals occasionally for few days in the past 3 months.I am worrying daily alot, as it is my first sexual exposure so far. Edited May  8, 2019 at 12:49 am","March 27, 2019 ",  4:15 pm,1 
depressed09,Is it possible to be exposed to hsv 2 in monogamist relationship? - Sexually transmitted diseases,I have been really struggling with my genital herpes diagnosis. I have been in a relationship for 7 years with a man that I gave my virginity to and have not had another sexual partner and he told me the same that I took his virginity and he has not been having sex with anyone but me. Well I was diagnosed with genital herpes and have had two flare ups and have been trying to convince myself he did not cheat on me but I am finding it harder and harder to believe. I want to confront him but I want to be positive that he cheated before accusing. I have read everything about the disease and I just want a straight answer whether he cheated and that is the only explanation or if there’s a possibility it’s somethings else. ,"May  8, 2019 ", 12:36 am,5 
chrisrcrc,HSV 1 Positive or Equivocal? Please help - Sexually transmitted diseases,"To cut the story short, 38 years old married male tested positive for HSV 1 with a very low index that is 1.1 and I am not even sure if its positive or equivocal. Here are few questions: 1) What are the chances of a false positive (if its positive and not equivocal) with such low index value. Never ever had any symptoms or outbreak on genitals or lips or anywhere. Had chicken pox in childhood. But that's just it. Had ulcers inside mouths but those were not herpes and was diagnosed as ulcers by doctors and reason was chewing tobacco habit and spicy food but doctors never call it herpes and they were inside mouth like on tongue or inside cheeks but never outside. 2) Shall I repeat test after a month or so or shall I just ignore it since no symptoms ever happened. In case I do a retest and the results arrive same what shall I do further? Consider it negative? 3) The reason for carrying out these tests were because of sexually abused by two men forcefully. Shall I test for HSV 2 IGG as well or just don't test it since I read that it is discouraged by doctors to test for herpes unless one have symptoms because of the chances of a false positive result can be very stressful and traumatic. Please advise. Please reply in﻿ detail if possi﻿ble. Thanks. Edited May  5, 2019 at  1:47 am"," 4, 2019",7:41 am,2 
lilmay,Is it herpes? What can I do? - Sexually transmitted diseases,"about 2 months ago, I started having unprotected and protected sex with a new person. During this time, I was experiencing a lot of itchiness and some burning. When realizing this, I decided to go to my gynecologist who tested me for all vaginal bacterial infections and all stds. The results came out negative even though I have been having this constant itching and burning on my labia. I have also learned that when I have sex, the itching and burning gets more intense and sometimes my whole vulva would be inflamed for a day or two. My sexual partner also got tested for stds and he was negative as well. I don't know what to do to make this itching and burning stop. I stopped having sex for more than a month now and the problem still hasn't gone away. I keep thinking its herpes even though I got a blood test and never had any kind of sores and my partner has never experienced any kind of symptoms for it. What can I do? ","May  4, 2019 ",  7:41 am,1 
chrisrcrc,Herpes Positive. Very worried please help. - Sexually transmitted diseases,"My brother 38 years old (married) was drugged forcefully and sexually abused in November 2018 by two men. He didn't disclose this to anyone till last month. So we gave blood samples for STD. Not all results came but HIV is negative, Hepatitis is negative but positive for herpes igg test. But he never has any kind of blisters or sores or pimples or anything related ever on his body. Not before that incident and not now. Is he positive or if it maybe a false positive? Its been 5 months since the incident so window period for testing is enough I guess. I didn't tell him yet because he is suffering from pneumonia and already stressed.Please let me know your thoughts. What I read is that if there are no herpes symptoms on body than the tests doesn't mean anything but I am very very very worried. Please help me. Can herpes mask itself for 5 months without any symptoms? Or maybe its a false positive? ","May  5, 2019 ",  3:49 pm,7 
giamTheBrave,Coping - @giamTheBrave - Sexually transmitted diseases - 20181030,"I recently got the new that I have herps. I still cannot believe this happened to me, because it’s in the back of my mind that these things exist but never would I thought it would happen to me. I’ve only been dating this man for a few months then I started getting symptoms, he said he had no  idea he ever had this, but now I’m stuck here just depressed over the fact I feel like I have none to talk to or relate to. I’m only a college student as well... I know it’s  not the end of the world and it’ll get better, but it’s just fresh and the pain in HORRIBLE, anyone have advice?? Or remedies to make the outbreaks less pain, or less to happen again.. anyways I just need a friend. Edited October 30, 2018 at  4:46 am","May  2, 2019 ",  3:52 pm,21 
chopitup,help - @chopitup - Sexually transmitted diseases - 20190428,"I had unprotected sex 3 days ago and suddenly have a tingling/pain feeling in my inner thig/groin  and kind of throughout my leg. I am Kind of freaking out because I'm thinking the worse, i might just be paranoid can you please help me figure out what this is. No other symptoms just what i described above ","October 30, 2018 ",  4:45 am,2 
